iter	RMSE
0	4271.157724
1	4000.416141
2	3756.555237
3	3536.755909
4	3350.219597
5	3185.158328
6	3041.204692
7	2910.248972
8	2797.108481
9	2698.538924
10	2612.63877
11	2541.461646
12	2474.086648
13	2418.278097
14	2365.358648
15	2318.903826
16	2278.007429
17	2241.636893
18	2207.80857
19	2179.355182
20	2152.352575
21	2121.960505
22	2097.092674
23	2075.313843
24	2057.322182
25	2040.785102
26	2024.910362
27	2009.117957
28	1995.660875
29	1984.74335
30	1971.710948
31	1961.650226
32	1952.516367
33	1943.213604
34	1935.539016
35	1927.636247
36	1919.106649
37	1912.583914
38	1905.172161
39	1900.00566
40	1894.359472
41	1889.584218
42	1884.989808
43	1879.435338
44	1875.455781
45	1871.730147
46	1868.699414
47	1865.118429
48	1860.158979
49	1856.877654
50	1854.14309
51	1848.952798
52	1846.644448
53	1843.201797
54	1839.111145
55	1835.824073
56	1832.54957
57	1829.937869
58	1827.895026
59	1823.850387
60	1820.58239
61	1818.268653
62	1816.288373
63	1814.199137
64	1811.082076
65	1809.20697
66	1807.172919
67	1805.511696
68	1803.618471
69	1800.624774
70	1799.173904
71	1797.380229
72	1795.476284
73	1793.61238
74	1792.038812
75	1789.977696
76	1788.30668
77	1786.857779
78	1785.134588
79	1783.567505
80	1781.373634
81	1780.259366
82	1777.48719
83	1775.976032
84	1773.749617
85	1772.712544
86	1771.436701
87	1769.876577
88	1768.639482
89	1765.007043
90	1763.738707
91	1762.50691
92	1761.490477
93	1760.010325
94	1758.639063
95	1757.488567
96	1756.24585
97	1755.486021
98	1753.865262
99	1753.025604
100	1751.483437
101	1750.404377
102	1749.308869
103	1747.925076
104	1746.651707
105	1745.473422
106	1743.959405
107	1742.204777
108	1741.559672
109	1740.211316
110	1738.978973
111	1737.964298
112	1737.017363
113	1736.062609
114	1734.681032
115	1734.015193
116	1732.455047
117	1731.315617
118	1729.884217
119	1728.785068
120	1727.311764
121	1725.896338
122	1725.251673
123	1724.623672
124	1723.515975
125	1722.601836
126	1721.576943
127	1720.528418
128	1718.923177
129	1718.008529
130	1717.047818
131	1715.566047
132	1714.006209
133	1713.157874
134	1712.384148
135	1711.225521
136	1710.473096
137	1709.500518
138	1708.065461
139	1707.266908
140	1706.261524
141	1705.326377
142	1704.705037
143	1704.035388
144	1703.047381
145	1702.299102
146	1701.383199
147	1700.434967
148	1699.428397
149	1698.707422
150	1698.071554
151	1697.4432
152	1696.661384
153	1695.507664
154	1694.663991
155	1693.561732
156	1692.644721
157	1691.846551
158	1690.751107
159	1689.911142
160	1689.05971
161	1688.636301
162	1687.737122
163	1687.1164
164	1686.551327
165	1685.465265
166	1684.623227
167	1683.898243
168	1683.109356
169	1682.530442
170	1682.003581
171	1681.606658
172	1680.738843
173	1679.932505
174	1679.455409
175	1678.62336
176	1677.968215
177	1677.345773
178	1676.559665
179	1676.034336
180	1674.794894
181	1674.310661
182	1673.669673
183	1673.126931
184	1671.944073
185	1671.342867
186	1670.396352
187	1669.830952
188	1669.016653
189	1668.570747
190	1667.939834
191	1666.946997
192	1666.250909
193	1665.785709
194	1665.076592
195	1664.296191
196	1663.952821
197	1663.389805
198	1662.795122
199	1662.224463
200	1661.577723
201	1661.14654
202	1660.216504
203	1659.49714
204	1658.717338
205	1658.299874
206	1657.490856
207	1656.848067
208	1656.330403
209	1655.580394
210	1655.09364
211	1654.663306
212	1654.350401
213	1653.720508
214	1653.264327
215	1652.912544
216	1652.295782
217	1651.68156
218	1651.229231
219	1650.761996
220	1650.385832
221	1650.055227
222	1649.11791
223	1648.395269
224	1648.001102
225	1647.550557
226	1646.80399
227	1646.337742
228	1645.901702
229	1645.392959
230	1644.944448
231	1644.561405
232	1643.832489
233	1643.502006
234	1643.082056
235	1642.338718
236	1642.027565
237	1641.646502
238	1640.852518
239	1640.507274
240	1639.937341
241	1639.608021
242	1639.022887
243	1638.104625
244	1637.59923
245	1637.229339
246	1636.665606
247	1636.023561
248	1635.585355
249	1634.93063
250	1634.396935
251	1634.089903
252	1633.388487
253	1632.978449
254	1632.232611
255	1631.892733
256	1631.095482
257	1630.6305
258	1630.209257
259	1629.82306
260	1629.268868
261	1628.998947
262	1628.737978
263	1628.172427
264	1627.87435
265	1627.303115
266	1626.755412
267	1626.151148
268	1625.710407
269	1625.268305
270	1624.889693
271	1624.596753
272	1624.053748
273	1623.519943
274	1623.142158
275	1622.799865
276	1622.432417
277	1622.146028
278	1621.586644
279	1621.261302
280	1620.865374
281	1620.414325
282	1619.986014
283	1619.702824
284	1619.31868
285	1619.003318
286	1618.590077
287	1618.350248
288	1617.913837
289	1617.377759
290	1616.820529
291	1616.43736
292	1615.837613
293	1615.091105
294	1614.739515
295	1614.135149
296	1613.746707
297	1613.50236
298	1613.227223
299	1612.741987
300	1612.378608
301	1612.038044
302	1611.864223
303	1611.49157
304	1611.063254
305	1610.842843
306	1610.491657
307	1610.12908
308	1609.681334
309	1609.394502
310	1608.961415
311	1608.52968
312	1608.145032
313	1607.824332
314	1607.529233
315	1607.104345
316	1606.6884
317	1606.412896
318	1605.754109
319	1605.362679
320	1604.943107
321	1604.427864
322	1603.96027
323	1603.587763
324	1603.142177
325	1602.951841
326	1602.595275
327	1602.102575
328	1601.604549
329	1601.281497
330	1600.762313
331	1600.416003
332	1599.958881
333	1599.661753
334	1599.534608
335	1599.302921
336	1598.910817
337	1598.531196
338	1598.184602
339	1597.723203
340	1597.301513
341	1596.939313
342	1596.56443
343	1596.183977
344	1595.791983
345	1595.555384
346	1595.056902
347	1594.664128
348	1594.382727
349	1593.982767
350	1593.601568
351	1593.107076
352	1592.716634
353	1592.271882
354	1591.824363
355	1591.576582
356	1591.093935
357	1590.629633
358	1590.243574
359	1590.022044
360	1589.627278
361	1589.497859
362	1589.065812
363	1588.557189
364	1588.349908
365	1588.061774
366	1587.714732
367	1587.379928
368	1586.896514
369	1586.593847
370	1586.229117
371	1585.953592
372	1585.698106
373	1585.332617
374	1585.045556
375	1584.585451
376	1584.225732
377	1584.034739
378	1583.752467
379	1583.576302
380	1583.38391
381	1583.109598
382	1582.74055
383	1582.35447
384	1582.05626
385	1581.907956
386	1581.606228
387	1581.217486
388	1580.878429
389	1580.558627
390	1580.121992
391	1579.652594
392	1579.428065
393	1579.009792
394	1578.657652
395	1578.419835
396	1578.002201
397	1577.418659
398	1577.037534
399	1576.804207
400	1576.666923
401	1576.322524
402	1576.031063
403	1575.6156
404	1575.196878
405	1574.852979
406	1574.253848
407	1574.085073
408	1573.812725
409	1573.58383
410	1573.194485
411	1573.049857
412	1572.76634
413	1572.42908
414	1572.0673
415	1571.841412
416	1571.560271
417	1571.40692
418	1571.2148
419	1570.837088
420	1570.621627
421	1570.120199
422	1569.970167
423	1569.749182
424	1569.374173
425	1569.120339
426	1568.680065
427	1568.525515
428	1568.228882
429	1567.799609
430	1567.426038
431	1567.076729
432	1566.720066
433	1566.460604
434	1566.177412
435	1565.805882
436	1565.467902
437	1565.194547
438	1565.096371
439	1564.781933
440	1564.45766
441	1564.035638
442	1563.697183
443	1563.469663
444	1563.059093
445	1562.825014
446	1562.546388
447	1562.051412
448	1561.801251
449	1561.366929
450	1561.064477
451	1560.660796
452	1560.487806
453	1560.314351
454	1560.079478
455	1559.838482
456	1559.781183
457	1559.582543
458	1559.240674
459	1559.004459
460	1558.466886
461	1558.253103
462	1557.855686
463	1557.652117
464	1557.305951
465	1556.91282
466	1556.637576
467	1556.380955
468	1556.218426
469	1556.107175
470	1555.694543
471	1555.544084
472	1555.396638
473	1555.125122
474	1554.791294
475	1554.540667
476	1554.311232
477	1554.071161
478	1553.922592
479	1553.75739
480	1553.589781
481	1553.358081
482	1553.058217
483	1552.743216
484	1552.39379
485	1552.069157
486	1551.853342
487	1551.76696
488	1551.385722
489	1551.052527
490	1550.900223
491	1550.682374
492	1550.289426
493	1550.059274
494	1549.776023
495	1549.625155
496	1549.408503
497	1549.12122
498	1548.822844
499	1548.454543
