iter	Passed	Remaining
0	339	169605
1	656	163434
2	950	157527
3	1125	139604
4	1282	126994
5	1449	119374
6	1714	120777
7	1898	116739
8	2062	112546
9	2219	108732
10	2516	111876
11	2694	109585
12	2870	107541
13	3053	106001
14	3337	107918
15	3498	105817
16	3764	106942
17	3928	105196
18	4101	103837
19	4271	102526
20	4536	103485
21	4711	102378
22	5064	105043
23	5256	104246
24	5405	102696
25	5581	101757
26	5756	100850
27	5944	100201
28	6272	101869
29	6546	102566
30	6758	102246
31	6944	101559
32	7289	103151
33	7441	101994
34	7613	101145
35	7763	100062
36	7949	99479
37	8111	98620
38	8371	98955
39	8546	98282
40	8719	97617
41	8889	96935
42	9064	96340
43	9225	95604
44	9527	96338
45	9584	94591
46	9759	94069
47	9926	93472
48	10098	92943
49	10277	92501
50	10470	92185
51	10769	92783
52	10932	92208
53	11121	91852
54	11307	91489
55	11459	90855
56	11639	90460
57	11793	89878
58	11959	89394
59	12244	89794
60	12416	89358
61	12569	88799
62	12751	88450
63	12935	88122
64	13117	87785
65	13285	87364
66	13458	86976
67	13605	86435
68	13784	86106
69	13970	85820
70	14114	85281
71	14302	85020
72	14451	84530
73	14604	84075
74	14768	83690
75	14934	83316
76	15111	83013
77	15291	82729
78	16278	86749
79	16612	87216
80	16801	86913
81	16998	86653
82	17170	86265
83	17348	85916
84	17520	85539
85	17581	84637
86	17746	84247
87	17920	83902
88	18083	83509
89	18252	83150
90	18436	82864
91	18633	82633
92	18805	82299
93	18973	81947
94	19149	81638
95	19239	80966
96	19480	80934
97	19536	80138
98	19712	79843
99	19879	79519
100	20051	79212
101	20216	78883
102	20392	78599
103	20574	78339
104	20742	78031
105	20929	77794
106	21103	77511
107	21162	76813
108	21326	76501
109	21507	76253
110	21684	75991
111	21844	75676
112	21995	75330
113	22152	75008
114	22329	74754
115	22511	74521
116	22830	74734
117	22996	74445
118	23292	74574
119	23470	74322
120	23649	74075
121	23849	73894
122	24033	73664
123	24222	73449
124	24404	73213
125	24723	73384
126	25043	73552
127	25245	73370
128	25529	73422
129	25716	73193
130	25909	72981
131	26101	72768
132	26489	73094
133	26649	72789
134	26847	72588
135	27157	72686
136	27346	72457
137	27555	72282
138	27738	72041
139	27901	71746
140	28237	71896
141	28419	71649
142	28610	71425
143	28775	71139
144	29111	71272
145	29429	71356
146	30562	73390
147	31093	73951
148	31503	74213
149	31759	74105
150	32207	74439
151	32518	74449
152	32680	74118
153	32876	73865
154	33164	73817
155	33473	73813
156	33758	73752
