iter	RMSE
0	34.00181301
1	32.24593044
2	30.69082469
3	29.32901059
4	28.14116438
5	27.13093206
6	26.19414236
7	25.31879517
8	24.55518059
9	23.85153862
10	23.28354782
11	22.71457108
12	22.24745229
13	21.84629849
14	21.46399493
15	21.13551431
16	20.82366601
17	20.56027699
18	20.3519479
19	20.08187298
20	19.87822741
21	19.68584544
22	19.50204296
23	19.31830673
24	19.15025113
25	18.98152832
26	18.8409062
27	18.72128008
28	18.59242146
29	18.47226611
30	18.36257136
31	18.23390214
32	18.15019654
33	18.05593008
34	17.93241032
35	17.85014592
36	17.74990301
37	17.67791993
38	17.57911898
39	17.52327891
40	17.45914489
41	17.37510404
42	17.3045095
43	17.24074656
44	17.16821046
45	17.0787998
46	17.03394754
47	17.02145859
48	16.96664349
49	16.89086774
50	16.81662961
51	16.76482156
52	16.70117666
53	16.67251647
54	16.63119805
55	16.54965353
56	16.48048998
57	16.4241177
58	16.35561057
59	16.29853089
60	16.25533557
61	16.22274215
62	16.17696236
63	16.1487683
64	16.12147051
65	16.07625255
66	16.03776432
67	15.99324545
68	15.93225299
69	15.88167209
70	15.85997746
71	15.82931713
72	15.7396427
73	15.68790238
74	15.66415983
75	15.60940933
76	15.57894035
77	15.52838101
78	15.48298777
79	15.44979758
80	15.4090024
81	15.32038846
82	15.28726732
83	15.25926847
84	15.2250084
85	15.16485322
86	15.1219943
87	15.06092791
88	15.0185602
89	14.98454785
90	14.95381335
91	14.91414894
92	14.86452071
93	14.78762625
94	14.75118927
95	14.70442911
96	14.66346388
97	14.6430305
98	14.59338994
99	14.58023033
100	14.53503189
101	14.4956349
102	14.46093071
103	14.4311584
104	14.40306459
105	14.33954142
106	14.30753758
107	14.29089874
108	14.23836002
109	14.20801493
110	14.17726018
111	14.13505017
112	14.07478769
113	14.03440719
114	13.95811054
115	13.90800093
116	13.86354738
117	13.80894385
118	13.78679955
119	13.72625056
120	13.68218343
121	13.65699168
122	13.63203472
123	13.57589023
124	13.55561899
125	13.51436682
126	13.50505901
127	13.44188711
128	13.39672384
129	13.37662893
130	13.3281694
131	13.27529972
132	13.22346343
133	13.19813461
134	13.14290123
135	13.08490879
136	13.05385774
137	13.0393638
138	12.98839848
139	12.96147667
140	12.92252314
141	12.87379157
142	12.83665701
143	12.77893327
144	12.74118729
145	12.70210984
146	12.64934683
147	12.59938184
148	12.56152315
149	12.5303769
150	12.50065657
151	12.43903033
152	12.40250848
153	12.3692534
154	12.35115024
155	12.32193259
156	12.27937781
157	12.23866195
158	12.19980219
159	12.16248474
160	12.1146238
161	12.06713412
162	12.05899625
163	12.0195769
164	11.99459332
165	11.96101037
166	11.93567937
167	11.90757019
168	11.86614294
169	11.82178525
170	11.7878237
171	11.76140484
172	11.73330029
173	11.70722054
174	11.68099574
175	11.65862642
176	11.62454027
177	11.55153669
178	11.52347335
179	11.50696734
180	11.46598385
181	11.41299568
182	11.3635744
183	11.34473542
184	11.31645886
185	11.26410341
186	11.22655596
187	11.18729234
188	11.16587023
189	11.1307479
190	11.09122312
191	11.06822388
192	11.02123948
193	10.99790627
194	10.967603
195	10.94487673
196	10.91845706
197	10.90864462
198	10.87290787
199	10.84994379
200	10.81205028
201	10.77018475
202	10.72263838
203	10.69305153
204	10.68687666
205	10.64658562
206	10.62505326
207	10.58535749
208	10.54355675
209	10.53118919
210	10.51181313
211	10.47522074
212	10.43456543
213	10.42845284
214	10.40025792
215	10.36227414
216	10.32061275
217	10.2661384
218	10.23019544
219	10.20396015
220	10.17920108
221	10.13022086
222	10.09705911
223	10.0694709
224	10.04185058
225	10.01164127
226	9.965720136
227	9.945774501
228	9.916400539
229	9.912716174
230	9.894739049
231	9.850515573
232	9.801084003
233	9.751563223
234	9.731336289
235	9.702561197
236	9.655839916
237	9.625566178
238	9.598320903
239	9.567574355
240	9.548824858
241	9.520958853
242	9.483798239
243	9.457880678
244	9.418535501
245	9.368932161
246	9.339826642
247	9.313015049
248	9.288720205
249	9.256263958
250	9.236019427
251	9.209456705
252	9.158295869
253	9.13087545
254	9.100668549
255	9.063874311
256	9.04421269
257	9.008679826
258	8.988828754
259	8.964487773
260	8.923420417
261	8.896822669
262	8.850550345
263	8.816758357
264	8.788520944
265	8.761623357
266	8.719303537
267	8.70092165
268	8.681204127
269	8.656134127
270	8.620763593
271	8.59059456
272	8.557685608
273	8.499181991
274	8.464733338
275	8.438091971
276	8.405454899
277	8.371189065
278	8.345248794
279	8.313984013
280	8.286520241
281	8.253141755
282	8.235922571
283	8.208666851
284	8.190877327
285	8.166297681
286	8.132257851
287	8.097687896
288	8.07513011
289	8.044071927
290	8.010982642
291	7.979598483
292	7.953911206
293	7.917720574
294	7.913298142
295	7.871868888
296	7.869566398
297	7.820547515
