iter	Passed	Remaining
0	45	22772
1	87	21904
2	125	20853
3	165	20518
4	205	20348
5	243	20082
6	285	20080
7	325	20001
8	365	19920
9	406	19927
10	445	19817
11	485	19729
12	524	19658
13	561	19501
14	602	19496
15	641	19417
16	680	19330
17	720	19288
18	760	19248
19	800	19207
20	841	19202
21	879	19110
22	919	19062
23	957	18991
24	998	18975
25	1038	18926
26	1076	18854
27	1116	18826
28	1154	18754
29	1194	18709
30	1234	18674
31	1274	18633
32	1311	18559
33	1351	18522
34	1389	18463
35	1430	18441
36	1468	18380
37	1506	18310
38	1545	18266
39	1583	18213
40	1623	18173
41	1667	18183
42	1705	18129
43	1745	18094
44	1784	18039
45	1824	18002
46	1864	17971
47	1902	17919
48	1944	17893
49	1984	17859
50	2024	17822
51	2064	17786
52	2103	17736
53	2140	17679
54	2182	17659
55	2224	17635
56	2264	17598
57	2302	17549
58	2342	17509
59	2383	17478
60	2424	17450
61	2464	17410
62	2503	17365
63	2541	17311
64	2581	17277
65	2620	17229
66	2659	17189
67	2699	17147
68	2739	17111
69	2780	17078
70	2819	17036
71	2859	17000
72	2898	16952
73	2937	16910
74	2976	16866
75	3015	16825
76	3055	16783
77	3094	16739
78	3131	16690
79	3168	16634
80	3205	16579
81	3243	16535
82	3283	16494
83	3320	16442
84	3358	16395
85	3395	16346
86	3432	16296
87	3472	16259
88	3510	16209
89	3547	16161
90	3587	16123
91	3625	16076
92	3663	16031
93	3703	15995
94	3745	15968
95	3784	15926
96	3826	15898
97	3867	15863
98	3906	15824
99	3946	15786
100	3986	15748
101	4024	15704
102	4062	15657
103	4103	15624
104	4143	15585
105	4183	15548
106	4224	15516
107	4265	15483
108	4305	15446
109	4346	15409
110	4387	15376
111	4429	15343
112	4470	15310
113	4509	15269
114	4551	15237
115	4593	15205
116	4636	15176
117	4677	15140
118	4718	15105
119	4759	15070
120	4800	15036
121	4851	15033
122	4896	15009
123	4938	14976
124	4981	14943
125	5021	14904
126	5062	14867
127	5103	14831
128	5142	14789
129	5182	14749
130	5221	14709
131	5261	14669
